t;"counter Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";GW[0] Received RSSI (position=240,240);GW[1] Received RSSI (position=200,140);"SF Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"TP Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"X Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"Y Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"Z Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)"
98524.98253086653;82;none;none;10;2;122.54752054881;345.68393310346;1.7048563925009
98684.55471726639;83;-129.96960863304;-127.07401538801;10;2;221.43341818873;179.03617845056;1.8479513778991
98802.96785891463;84;none;none;10;2;294.81331018887;55.372496061515;1.9541373439964
99150.16682120135;85;none;none;10;2;273.95828171612;406.91146419905;1.4863344631132
99281.54022731116;86;-124.89917108608;none;10;2;271.7482446336;249.20724408609;1.664909093048
99531.08380136495;87;-127.30977824925;none;10;2;278.8126073799;264.36918067614;1.6598175922059
99915.66268082037;88;none;none;10;2;423.0820235852;84.819621140186;1.3596684446784
100093.6281783877;89;-131.4625227329;none;10;2;314.9582571442;252.3146887519;1.5516579201706
100440.33387794657;90;none;none;10;2;138.68707661982;300.88219344591;1.7697933405253
100719.96448980742;91;none;none;10;2;235.44322919895;333.29307868555;1.2289474024534
101133.98198921649;92;none;none;10;2;212.92591068527;337.06443077248;1.7438671767552
101237.95669610006;93;-128.93344026671;none;10;2;276.68799623478;197.36898335966;1.9089617619827
101287.56764210817;94;-132.91762594778;-131.83485387827;10;2;277.33732715024;158.07672705651;1.8895978492451
101848.52311015899;95;none;none;10;2;130.65379438573;15.036427561841;1.2283365351201
101981.06042185484;96;none;-132.09611694527;10;2;237.64361718066;67.376209451057;1.5684289453505
102054.1869711739;97;none;-120.0507446287;10;2;188.46057110031;143.60320821129;1.4988193828059
102163.14498256376;98;none;none;10;2;108.78245116071;284.99106703808;1.3555277532893
102299.58792161106;99;none;none;10;2;141.40777906969;358.81803513189;1.2674370277606
102419.98145732778;100;-118.65860687012;none;10;2;236.73433689494;241.93147974562;1.4397350769716
102476.59407821207;101;-132.95063607894;none;10;2;326.96829758021;215.44474534361;1.8643416717246
102550.39047557636;102;-132.71838609489;none;10;2;299.39054042279;175.1003220738;1.8245403410927
102604.90791654621;103;none;-128.3096726035;10;2;251.8387772128;144.20665842428;1.6840853180132
102868.30668797262;104;none;none;10;2;47.464605819312;12.367594837394;1.0463194497245
102919.78014007106;105;none;none;10;2;114.50671672286;60.070240758469;1.0938874185017
103161.67332162405;106;none;none;10;2;350.1642867238;324.96643972791;1.1881589838323
103241.8379760965;107;none;none;10;2;350.47481561156;452.65159010229;1.0927556575562
103448.76710010897;108;none;none;10;2;130.9888323261;320.11312780384;1.5237648502851
103725.69618109569;109;none;none;10;2;309.82138143973;355.83336176879;1.274447328237
103909.12453499732;110;none;none;10;2;424.13729196101;360.08545820139;1.3609475353741
104040.3096918608;111;-130.96930747637;-132.68703152445;10;2;278.18554376535;179.4014697002;1.3379503959371
104129.60928280479;112;none;-132.55600178186;10;2;178.83412533469;56.407324256766;1.3222959179939
104195.24588063685;113;none;-132.12594948699;10;2;167.792449864;64.56659840194;1.2904136900169
104271.85006760983;114;-126.46707182249;-130.6019899851;10;2;233.84107518034;199.60742353559;1.2272554028678
104347.00193565207;115;none;none;10;2;298.63750172419;332.08804465803;1.1652945173189
104413.37957957902;116;none;none;10;2;355.86873550336;449.10112397554;1.1105677659352
104473.63799971586;117;none;none;10;2;295.57297938897;426.16243028042;1.1599210686354
104593.76604673707;118;none;none;10;2;166.71916919318;370.47815858557;1.2659419948449
104677.48439684047;119;none;none;10;2;76.919753805819;331.67127319452;1.3398289616174
104727.60623785998;120;none;none;10;2;73.048526645403;356.62135044899;1.4906661587272
104959.72307117244;121;none;none;10;2;69.533645276374;356.71224091861;1.480053471721
105069.3559382414;122;-131.70988619888;none;10;2;196.969956043;305.23298475033;1.3504464248142
105184.06150504423;123;none;none;10;2;361.66758979221;292.18391956789;1.5298709642063
105265.98003952953;124;none;none;10;2;436.09625058621;321.56561074643;1.6348923570938
105655.51821251664;125;-120.49197939932;none;10;2;232.34740282948;228.06997713183;1.6241617032029
105844.92653821283;126;none;none;10;2;118.96961002857;88.74962392958;1.5821940255229
105901.92071858895;127;none;none;10;2;98.298631553807;179.65307760967;1.6351479170118
106019.46277823533;128;none;none;10;2;55.667798567077;367.12799353991;1.7443574789499
106235.59664989289;129;-129.40684232708;none;10;2;278.05281105695;285.65714925227;1.4571712498968
106414.32670489233;130;none;none;10;2;366.46997547085;37.196874150045;1.7497809998936
106684.4576595575;131;-129.21376111366;-129.09763263136;10;2;239.00792372177;181.92543416759;1.5454943045611
106756.16201437518;132;-131.87408710706;none;10;2;160.59882440484;246.54003293419;1.3884402296543
106858.74950202768;133;-129.1870126889;-128.07874268023;10;2;223.29698125568;184.66423405637;1.2586229938879
106911.56728425806;134;none;-131.17651344081;10;2;273.30977475495;137.15939067599;1.20140646185
106994.21270384991;135;-122.87235145397;none;10;2;219.5584358056;252.31743977156;1.4884857109957
107301.9410062021;136;none;none;10;2;142.01160709236;375.24953210961;1.324015560543
107406.71467183196;137;-130.91374391862;none;10;2;259.67372258754;308.37162354657;1.2951550942913
107536.04045204099;138;-128.17075146256;none;10;2;286.90722531491;219.49876616356;1.8962213575907
107599.77711706096;139;none;none;10;2;347.25710415864;298.7612941272;1.7172346394128
107698.29121921056;140;none;none;10;2;425.28912825251;419.40701650278;1.3782495914965
107761.26703970018;141;none;none;10;2;404.86458911911;439.3062593339;1.658531054785
107829.77998671138;142;none;none;10;2;378.56062570504;356.29963896965;1.7233895687384
107903.16436222902;143;none;none;10;2;364.99303355868;261.68944990419;1.6429253975554
107957.42841561071;144;none;none;10;2;354.96048181591;191.72997537456;1.5834261914971
108154.31370809664;145;none;none;10;2;267.82766095524;24.2238461764;1.4824467640939
108394.82120787485;146;none;none;10;2;281.38354259505;327.98004303712;1.6920790879577
108691.47782327103;147;none;-125.26883489834;10;2;189.78671927088;106.83127580711;1.3911002970942
108764.01476032724;148;-130.91808826942;-125.75627288273;10;2;218.82193966593;172.02460661966;1.3546574036369
108962.2082344349;149;none;none;10;2;317.97964559712;412.36335705483;1.3680666852589
109077.04528754473;150;-127.90085735738;none;10;2;196.9097506336;263.9059745392;1.3170644552082
109140.42129139759;151;none;-132.07546995591;10;2;130.09398061959;181.97566205288;1.2889174639657
109297.21046555908;152;none;none;10;2;257.05918926549;15.498382124673;1.1925065735991
109379.09240807772;153;none;-124.12405817839;10;2;179.29107166743;119.02843257057;1.6995986283575
109495.07129432061;154;-124.13575782954;none;10;2;253.145703645;266.45223267162;1.7198852686141
109823.51971164462;155;none;none;10;2;339.67762675135;224.48792444922;1.950353912068
110080.76487329044;156;-132.23280360396;none;10;2;305.25478696341;188.46854647599;1.7426477751518
